content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
"Udah bagus aplikasi nya tapi tolong jangan cuma fiturnya doang yang dibanyakin, tapi performa nya tolong dioptimalkan untuk HP spek entry-mid range. Soalnya saya salah satu tipe pengguna HP tsb dan akhir akhir ini saya merasakan app ini hampir selalu crash tiap 10 menit, sehingga mengurangi kenyamanan",4,"udah bagus aplikasi nya tapi tolong jangan cuma fiturnya doang yang dibanyakin, tapi performa nya tolong dioptimalkan untuk hp spek entry-mid range. soalnya saya salah satu tipe pengguna hp tsb dan akhir akhir ini saya merasakan app ini hampir selalu crash tiap 10 menit, sehingga mengurangi kenyamanan",udah bagus aplikasi nya tapi tolong jangan cuma fiturnya doang yang dibanyakin tapi performa nya tolong dioptimalkan untuk hp spek entry mid range soalnya saya salah satu tipe pengguna hp tsb dan akhir akhir ini saya merasakan app ini hampir selalu crash tiap menit sehingga mengurangi kenyamanan,sudah bagus aplikasi nya tapi tolong jangan cuma fiturnya doang yang dibanyakin tapi performa nya tolong dioptimalkan untuk handphone spesifikasi entry tengah range soalnya saya salah satu tipe pengguna handphone tersebut dan akhir akhir ini saya merasakan app ini hampir selalu crash tiap menit sehingga mengurangi kenyamanan,bagus aplikasi tolong jangan fiturnya doang dibanyakin performa tolong dioptimalkan handphone spesifikasi entry range salah tipe pengguna handphone merasakan app crash menit mengurangi kenyamanan,bagus aplikasi tolong fiturnya doang dibanyakin performa tolong dioptimalkan handphone spesifikasi entry range salah tipe pengguna handphone merasakan app crash menit mengurangi kenyamanan,bagus aplikasi tolong jangan fiturnya doang dibanyakin performa tolong optimal handphone spesifikasi entry range salah tipe guna handphone rasa app crash menit kurang nyaman,pos,0
aplikasi bagus walau masih banyak bug nya,5,aplikasi bagus walau masih banyak bug nya,aplikasi bagus walau masih banyak bug nya,aplikasi bagus walau masih banyak bug nya,aplikasi bagus bug,aplikasi bagus bug,aplikasi bagus bug,pos,0
"Bagusss, cs nya gercep, ganti norek pencairan cepet bgt, trus konsul juga cepet, tingkatkan terus layanannya",5,"bagusss, cs nya gercep, ganti norek pencairan cepet bgt, trus konsul juga cepet, tingkatkan terus layanannya",baguss cs nya gercep ganti norek pencairan cepet bgt trus konsul juga cepet tingkatkan terus layanannya,bagus rekan nya gerak cepat ganti norek pencairan cepat banget terus konsultasi juga cepat tingkatkan terus layanannya,bagus rekan gerak cepat ganti norek pencairan cepat banget konsultasi cepat tingkatkan layanannya,bagus rekan gerak cepat ganti norek pencairan cepat banget konsultasi cepat tingkatkan layanannya,bagus rekan gerak cepat ganti norek cair cepat banget konsultasi cepat tingkat layan,pos,0
"simple , tetapi akhir2 ini agak lambat response nya",5,"simple , tetapi akhir2 ini agak lambat response nya",simple tetapi akhir ini agak lambat response nya,simple tetapi akhir ini agak lambat response nya,simple lambat response,simple lambat response,simple lambat response,pos,1
Aplikasi saham the best ever,5,aplikasi saham the best ever,aplikasi saham the best ever,aplikasi saham the best ever,aplikasi saham the best ever,aplikasi saham the best ever,aplikasi saham the best ever,pos,3
"Semoga lag saat bnyak transaksi di benerin lagi, biar makin mantaaapp",5,"semoga lag saat bnyak transaksi di benerin lagi, biar makin mantaaapp",semoga lag saat bnyak transaksi di benerin lagi biar makin mantaapp,semoga lag saat banyak transaksi di benarkan lagi biar makin mantap,semoga lag transaksi benarkan biar mantap,semoga lag transaksi benarkan biar mantap,moga lag transaksi benar biar mantap,pos,4
Sayang klo liat chart langsung ganti emiten lain ga bisa hrs balik ke menu utama dolo,4,sayang klo liat chart langsung ganti emiten lain ga bisa hrs balik ke menu utama dolo,sayang klo liat chart langsung ganti emiten lain ga bisa hrs balik ke menu utama dolo,sayang kalau lihat chart langsung ganti emiten lain tidak bisa harus balik ke menu utama dulu,sayang lihat chart langsung ganti emiten tidak menu utama,sayang lihat chart langsung ganti emiten menu utama,sayang lihat chart langsung ganti emiten tidak menu utama,pos,0
Sangat direkomendasikan karena fiturnya cukup lengkap. Fitur kesukaanku adalah stream. Stream adalah fitur diskusi dengan investor atau trader lainnya,5,sangat direkomendasikan karena fiturnya cukup lengkap. fitur kesukaanku adalah stream. stream adalah fitur diskusi dengan investor atau trader lainnya,sangat direkomendasikan karena fiturnya cukup lengkap fitur kesukaanku adalah stream stream adalah fitur diskusi dengan investor atau trader lainnya,sangat direkomendasikan karena fiturnya cukup lengkap fitur kesukaanku adalah stream stream adalah fitur diskusi dengan investor atau trader lainnya,direkomendasikan fiturnya lengkap fitur kesukaanku stream stream fitur diskusi investor trader,direkomendasikan fiturnya lengkap fitur kesukaanku stream stream fitur diskusi investor trader,rekomendasi fiturnya lengkap fitur suka stream stream fitur diskusi investor trader,pos,3
"Aplikasi Stockbit sangat MANTAP dan BAIK, mempermudah bagi para pemula yg sangat awam utk transaksi saham di bursa efek yg tidak memiliki latar belakang pengetahuan tentang perdagangan saham. Aplikasi Stockbit ini memang yg terbaik bagi para pemula.",5,"aplikasi stockbit sangat mantap dan baik, mempermudah bagi para pemula yg sangat awam utk transaksi saham di bursa efek yg tidak memiliki latar belakang pengetahuan tentang perdagangan saham. aplikasi stockbit ini memang yg terbaik bagi para pemula.",aplikasi stockbit sangat mantap dan baik mempermudah bagi para pemula yg sangat awam utk transaksi saham di bursa efek yg tidak memiliki latar belakang pengetahuan tentang perdagangan saham aplikasi stockbit ini memang yg terbaik bagi para pemula,aplikasi stockbit sangat mantap dan baik mempermudah bagi para pemula yang sangat awam untuk transaksi saham di bursa efek yang tidak memiliki latar belakang pengetahuan tentang perdagangan saham aplikasi stockbit ini memang yang terbaik bagi para pemula,aplikasi stockbit mantap mempermudah pemula awam transaksi saham bursa efek tidak memiliki latar pengetahuan perdagangan saham aplikasi stockbit terbaik pemula,aplikasi stockbit mantap mempermudah pemula awam transaksi saham bursa efek memiliki latar pengetahuan perdagangan saham aplikasi stockbit terbaik pemula,aplikasi stockbit mantap mudah mula awam transaksi saham bursa efek tidak milik latar tahu dagang saham aplikasi stockbit baik mula,pos,2
"Sering eror, dicoba instal ulang malah ga bisa login..... Tolong diperbaiki lagi....",5,"sering eror, dicoba instal ulang malah ga bisa login..... tolong diperbaiki lagi....",sering eror dicoba instal ulang malah ga bisa login tolong diperbaiki lagi,sering eror dicoba instal ulang bahkan tidak bisa login tolong diperbaiki lagi,eror dicoba instal ulang tidak login tolong diperbaiki,eror dicoba instal ulang login tolong diperbaiki,eror coba instal ulang tidak login tolong baik,pos,0
Semoga biaya beli dan jualnya kedepannya lebih murah... Mantap,5,semoga biaya beli dan jualnya kedepannya lebih murah... mantap,semoga biaya beli dan jualnya kedepannya lebih murah mantap,semoga biaya beli dan jualnya kedepannya lebih murah mantap,semoga biaya beli jualnya kedepannya murah mantap,semoga biaya beli jualnya kedepannya murah mantap,moga biaya beli jual depan murah mantap,pos,1
"Assallamuallaikum,siang maf sy mo tny ko apk Stockbit sy tdk bs trbuka y, jwbn'a Stockbit trs brhnti ad yg bs bntu🙏",5,"assallamuallaikum,siang maf sy mo tny ko apk stockbit sy tdk bs trbuka y, jwbn'a stockbit trs brhnti ad yg bs bntu🙏",assallamuallaikum siang maf sy mo tny ko apk stockbit sy tdk bs trbuka y jwbn a stockbit trs brhnti ad yg bs bntu,assallamuallaikum siang maf saya mau ternyata kok apakah stockbit saya tidak bisa terbuka iya jawaban a stockbit terus brhnti ada yang bisa bantu,assallamuallaikum siang maf stockbit tidak terbuka iya a stockbit brhnti bantu,assallamuallaikum siang maf stockbit terbuka iya a stockbit brhnti bantu,assallamuallaikum siang maf stockbit tidak buka iya a stockbit brhnti bantu,pos,2
Aplikasi yg bagus dan nyaman,5,aplikasi yg bagus dan nyaman,aplikasi yg bagus dan nyaman,aplikasi yang bagus dan nyaman,aplikasi bagus nyaman,aplikasi bagus nyaman,aplikasi bagus nyaman,pos,0
karna mudah untuk pemula seperti gw,5,karna mudah untuk pemula seperti gw,karna mudah untuk pemula seperti gw,karena mudah untuk pemula seperti gue,mudah pemula gue,mudah pemula gue,mudah mula gue,pos,1
"Hmm Saya bukan mempromosikan ya, tapi ini fakta pertama kali trading inilah aplikasi yg paling mendekati usaha yg sesungguhnya nya, sampai saat ini belum ada keluhan buat saya, tapi entah kalo sudah ganti. Management,",5,"hmm saya bukan mempromosikan ya, tapi ini fakta pertama kali trading inilah aplikasi yg paling mendekati usaha yg sesungguhnya nya, sampai saat ini belum ada keluhan buat saya, tapi entah kalo sudah ganti. management,",hmm saya bukan mempromosikan ya tapi ini fakta pertama kali trading inilah aplikasi yg paling mendekati usaha yg sesungguhnya nya sampai saat ini belum ada keluhan buat saya tapi entah kalo sudah ganti management,hem saya bukan mempromosikan iya tapi ini fakta pertama kali trading inilah aplikasi yang paling mendekati usaha yang sesungguhnya nya sampai saat ini belum ada keluhan buat saya tapi entah kalau sudah ganti manajemen,hem bukan mempromosikan iya fakta kali trading aplikasi mendekati usaha sesungguhnya belum keluhan ganti manajemen,hem mempromosikan iya fakta kali trading aplikasi mendekati usaha sesungguhnya keluhan ganti manajemen,hem bukan promosi iya fakta kali trading aplikasi dekat usaha sungguh belum keluh ganti manajemen,pos,4
"Bagus,tambah bank yang bisa kerjasama dong,kayak mandiri BNI dll",4,"bagus,tambah bank yang bisa kerjasama dong,kayak mandiri bni dll",bagus tambah bank yang bisa kerjasama dong kayak mandiri bni dll,bagus tambah bank yang bisa kerja sama dong kayak mandiri bank negara indonesia dan lain lain,bagus bank kerja kayak mandiri bank negara indonesia,bagus bank kerja kayak mandiri bank negara indonesia,bagus bank kerja kayak mandiri bank negara indonesia,pos,5
"aplikasi user friendly untuk pemula, mudah di pahami. tapi sayang sering maintenance di saat jam bursa. tolong di tingkatkan tim stockbit.",5,"aplikasi user friendly untuk pemula, mudah di pahami. tapi sayang sering maintenance di saat jam bursa. tolong di tingkatkan tim stockbit.",aplikasi user friendly untuk pemula mudah di pahami tapi sayang sering maintenance di saat jam bursa tolong di tingkatkan tim stockbit,aplikasi pengguna friendly untuk pemula mudah di pahami tapi sayang sering maintenance di saat jam bursa tolong di tingkatkan tim stockbit,aplikasi pengguna friendly pemula mudah pahami sayang maintenance jam bursa tolong tingkatkan tim stockbit,aplikasi pengguna friendly pemula mudah pahami sayang maintenance jam bursa tolong tingkatkan tim stockbit,aplikasi guna friendly mula mudah paham sayang maintenance jam bursa tolong tingkat tim stockbit,pos,2
screener pake rumus manual oke nih,4,screener pake rumus manual oke nih,screener pake rumus manual oke nih,screener pakai rumus manual oke ini,screener pakai rumus manual oke,screener pakai rumus manual oke,screener pakai rumus manual oke,pos,1
"coba tolong tambahkan sebuah penarikan ke metode yang lain, jangan hanya bisa di tarik ke bank saja. jika ada bank masalah bisa di ambil ke tarik ke tempat yang lain",5,"coba tolong tambahkan sebuah penarikan ke metode yang lain, jangan hanya bisa di tarik ke bank saja. jika ada bank masalah bisa di ambil ke tarik ke tempat yang lain",coba tolong tambahkan sebuah penarikan ke metode yang lain jangan hanya bisa di tarik ke bank saja jika ada bank masalah bisa di ambil ke tarik ke tempat yang lain,coba tolong tambahkan sebuah penarikan ke metode yang lain jangan hanya bisa di tarik ke bank saja jika ada bank masalah bisa di ambil ke tarik ke tempat yang lain,coba tolong tambahkan penarikan metode jangan tarik bank bank ambil tarik,coba tolong tambahkan penarikan metode tarik bank bank ambil tarik,coba tolong tambah tari metode jangan tarik bank bank ambil tarik,pos,6
mau tanya min. bisa gak daftarnya pke paspor? soalnya sya sedang diluar negri dan ga bwa ktp indo,5,mau tanya min. bisa gak daftarnya pke paspor? soalnya sya sedang diluar negri dan ga bwa ktp indo,mau tanya min bisa gak daftarnya pke paspor soalnya sya sedang diluar negri dan ga bwa ktp indo,mau tanya min bisa tidak daftarnya pakai paspor soalnya saya sedang di luar negeri dan tidak bawa kartu tanda penduduk indonesia,min tidak daftarnya pakai paspor negeri tidak bawa kartu tanda penduduk indonesia,min daftarnya pakai paspor negeri bawa kartu tanda penduduk indonesia,min tidak daftar pakai paspor negeri tidak bawa kartu tanda duduk indonesia,pos,0
Sangat memuaskn fitur lengkap sangat membantu,5,sangat memuaskn fitur lengkap sangat membantu,sangat memuaskn fitur lengkap sangat membantu,sangat memuaskn fitur lengkap sangat membantu,memuaskn fitur lengkap membantu,memuaskn fitur lengkap membantu,memuaskn fitur lengkap bantu,pos,1
"Aplikasi terlengkap, terkece pokoknya mah, oiya, STOCKBIT juga udah di bawah OJK dipastikan aman",5,"aplikasi terlengkap, terkece pokoknya mah, oiya, stockbit juga udah di bawah ojk dipastikan aman",aplikasi terlengkap terkece pokoknya mah oiya stockbit juga udah di bawah ojk dipastikan aman,aplikasi terlengkap terkece pokoknya adalah oh iya stockbit juga sudah di bawah ojk dipastikan aman,aplikasi terlengkap terkece pokoknya oh iya stockbit ojk aman,aplikasi terlengkap terkece pokoknya oh iya stockbit ojk aman,aplikasi lengkap kece pokok oh iya stockbit ojk aman,pos,2
"saya suka, aplikasinya mantap",5,"saya suka, aplikasinya mantap",saya suka aplikasinya mantap,saya suka aplikasinya mantap,suka aplikasinya mantap,suka aplikasinya mantap,suka aplikasi mantap,pos,0
Stockbit berbenah... Terima kasih atas uoayanya memaksimalkan aplikasi... 🙏🏾,5,stockbit berbenah... terima kasih atas uoayanya memaksimalkan aplikasi... 🙏🏾,stockbit berbenah terima kasih atas uoayanya memaksimalkan aplikasi,stockbit berbenah terima kasih atas uoayanya memaksimalkan aplikasi,stockbit berbenah terima kasih uoayanya memaksimalkan aplikasi,stockbit berbenah terima kasih uoayanya memaksimalkan aplikasi,stockbit benah terima kasih uoayanya maksimal aplikasi,pos,2
"Lumayan lengkap fiturnya, sangat membantu dan mudah dipahami..👍👍",5,"lumayan lengkap fiturnya, sangat membantu dan mudah dipahami..👍👍",lumayan lengkap fiturnya sangat membantu dan mudah dipahami,lumayan lengkap fiturnya sangat membantu dan mudah dipahami,lumayan lengkap fiturnya membantu mudah dipahami,lumayan lengkap fiturnya membantu mudah dipahami,lumayan lengkap fiturnya bantu mudah paham,pos,1
Emang ada yang PRO ya?,5,emang ada yang pro ya?,emang ada yang pro ya,memang ada yang profesional iya,profesional iya,profesional iya,profesional iya,pos,1
Insyaallah app nya sangat membantu untuk pemula,5,insyaallah app nya sangat membantu untuk pemula,insyaallah app nya sangat membantu untuk pemula,insyaallah app nya sangat membantu untuk pemula,insyaallah app membantu pemula,insyaallah app membantu pemula,insyaallah app bantu mula,pos,0
Knapa ini kq akun saya ga bisa masuk,4,knapa ini kq akun saya ga bisa masuk,knapa ini kq akun saya ga bisa masuk,kenapa ini kok akun saya tidak bisa masuk,akun tidak masuk,akun masuk,akun tidak masuk,pos,0
Sangat mudah dipakai dan banyak fitur bermanfaat,5,sangat mudah dipakai dan banyak fitur bermanfaat,sangat mudah dipakai dan banyak fitur bermanfaat,sangat mudah dipakai dan banyak fitur bermanfaat,mudah dipakai fitur bermanfaat,mudah dipakai fitur bermanfaat,mudah pakai fitur manfaat,pos,1
sangat bagus dan pendaftaran cepat di verifikasi,5,sangat bagus dan pendaftaran cepat di verifikasi,sangat bagus dan pendaftaran cepat di verifikasi,sangat bagus dan pendaftaran cepat di verifikasi,bagus pendaftaran cepat verifikasi,bagus pendaftaran cepat verifikasi,bagus daftar cepat verifikasi,pos,0
KEYSTAT../ fundamentalnya kalau bisa seperti ipot & RTI biar makin memudahkan,5,keystat../ fundamentalnya kalau bisa seperti ipot & rti biar makin memudahkan,keystat fundamentalnya kalau bisa seperti ipot rti biar makin memudahkan,keystat fundamentalnya kalau bisa seperti ipot rti biar makin memudahkan,keystat fundamentalnya ipot rti biar memudahkan,keystat fundamentalnya ipot rti biar memudahkan,keystat fundamental ipot rti biar mudah,pos,0
